Date,time_of_day,MachineName,ustanov,bez_ustanova,rabotal
2022-02-14,Ночь,V26/60_1,5188.0,12777.0,25235.0
2022-02-14,Ночь,V26/60_2,5134.0,16718.0,21348.0
2022-02-14,Ночь,V26/85,5751.0,9410.0,28039.0
2022-02-14,Ночь,VCENTR-102,2199.0,29548.0,11453.0
2022-02-14,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-02-14,Ночь,VTM9,87.0,37826.0,5287.0
2022-02-15,День,CK50,4977.0,18307.0,19916.0
2022-02-15,День,V20,4863.0,22650.0,15687.0
2022-02-15,День,V26/60_1,5755.0,14056.0,23389.0
2022-02-15,День,V26/60_2,7090.0,7271.0,28839.0
2022-02-15,День,V26/85,2915.0,11406.0,28879.0
2022-02-15,День,VCENTR-102,983.0,38203.0,4014.0
2022-02-15,День,VCENTR-70,2118.0,23302.0,17780.0
2022-02-15,День,VTM9,1047.0,39224.0,2929.0
2022-02-15,Ночь,CK50,1589.0,30312.0,11299.0
2022-02-15,Ночь,V20,1667.0,39918.0,1615.0
2022-02-15,Ночь,V26/60_1,6156.0,3436.0,33608.0
2022-02-15,Ночь,V26/60_2,4544.0,3209.0,35447.0
2022-02-15,Ночь,V26/85,3401.0,13786.0,26013.0
2022-02-15,Ночь,VCENTR-102,3319.0,29467.0,10414.0
2022-02-15,Ночь,VCENTR-70,1874.0,923.0,40403.0
2022-02-15,Ночь,VTM9,3238.0,1648.0,38314.0
2022-02-16,День,CK50,3891.0,28728.0,10581.0
2022-02-16,День,V20,0.0,43200.0,0.0
2022-02-16,День,V26/60_1,4790.0,17129.0,21281.0
2022-02-16,День,V26/60_2,5018.0,15793.0,22389.0
2022-02-16,День,V26/85,3471.0,13690.0,26039.0
2022-02-16,День,VCENTR-102,0.0,43200.0,0.0
2022-02-16,День,VCENTR-70,0.0,43200.0,0.0
2022-02-16,День,VTM9,3566.0,13292.0,26342.0
2022-02-16,Ночь,CK50,2314.0,27501.0,13385.0
2022-02-16,Ночь,V20,0.0,43200.0,0.0
2022-02-16,Ночь,V26/60_1,7874.0,8750.0,26576.0
2022-02-16,Ночь,V26/60_2,8152.0,12944.0,22104.0
2022-02-16,Ночь,V26/85,7484.0,10345.0,25371.0
2022-02-16,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-16,Ночь,VCENTR-70,0.0,43196.0,4.0
2022-02-16,Ночь,VTM9,3193.0,23408.0,16599.0
2022-02-17,День,CK50,3801.0,17515.0,21884.0
2022-02-17,День,V20,0.0,43200.0,0.0
2022-02-17,День,V26/60_1,3850.0,17844.0,21506.0
2022-02-17,День,V26/60_2,7878.0,10532.0,24790.0
2022-02-17,День,V26/85,5836.0,15954.0,21410.0
2022-02-17,День,VCENTR-102,0.0,43188.0,12.0
2022-02-17,День,VCENTR-70,3862.0,25216.0,14122.0
2022-02-17,День,VTM9,9029.0,14957.0,19214.0
2022-02-17,Ночь,CK50,3634.0,16140.0,23426.0
2022-02-17,Ночь,V20,0.0,43200.0,0.0
2022-02-17,Ночь,V26/60_1,4207.0,12759.0,26234.0
2022-02-17,Ночь,V26/60_2,6272.0,23031.0,13897.0
2022-02-17,Ночь,V26/85,4379.0,12164.0,26657.0
2022-02-17,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-17,Ночь,VCENTR-70,2513.0,23435.0,17252.0
2022-02-17,Ночь,VTM9,1151.0,38863.0,3186.0
2022-02-18,День,CK50,4205.0,8769.0,30226.0
2022-02-18,День,V20,122.0,42962.0,116.0
2022-02-18,День,V26/60_1,4878.0,18064.0,20258.0
2022-02-18,День,V26/60_2,12523.0,7001.0,23676.0
2022-02-18,День,V26/85,4700.0,5945.0,32555.0
2022-02-18,День,VCENTR-102,4898.0,22366.0,15936.0
2022-02-18,День,VCENTR-70,3238.0,27675.0,12287.0
2022-02-18,День,VTM9,3441.0,21924.0,17835.0
2022-02-18,Ночь,CK50,2357.0,6272.0,34571.0
2022-02-18,Ночь,V20,4147.0,26613.0,12440.0
2022-02-18,Ночь,V26/60_1,3648.0,20347.0,19205.0
2022-02-18,Ночь,V26/60_2,4321.0,16491.0,22388.0
2022-02-18,Ночь,V26/85,2430.0,15458.0,25312.0
2022-02-18,Ночь,VCENTR-102,1639.0,38738.0,2823.0
2022-02-18,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-02-18,Ночь,VTM9,3066.0,12808.0,27326.0
2022-02-19,День,CK50,3975.0,9814.0,29411.0
2022-02-19,День,V20,1748.0,35954.0,5498.0
2022-02-19,День,V26/60_1,8391.0,3676.0,31133.0
2022-02-19,День,V26/60_2,12168.0,4175.0,26857.0
2022-02-19,День,V26/85,3438.0,2277.0,37485.0
2022-02-19,День,VCENTR-102,0.0,43200.0,0.0
2022-02-19,День,VCENTR-70,3861.0,25765.0,13574.0
2022-02-19,День,VTM9,0.0,40618.0,2582.0
2022-02-19,Ночь,CK50,3906.0,9676.0,29618.0
2022-02-19,Ночь,V20,0.0,43200.0,0.0
2022-02-19,Ночь,V26/60_1,3350.0,13320.0,26530.0
2022-02-19,Ночь,V26/60_2,2833.0,15737.0,24630.0
2022-02-19,Ночь,V26/85,2202.0,13563.0,27435.0
2022-02-19,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-19,Ночь,VCENTR-70,1812.0,33337.0,8051.0
2022-02-19,Ночь,VTM9,0.0,43200.0,0.0
2022-02-20,День,CK50,3464.0,5347.0,34389.0
2022-02-20,День,V20,0.0,43200.0,0.0
2022-02-20,День,V26/60_1,8073.0,9566.0,25561.0
2022-02-20,День,V26/60_2,6100.0,4338.0,32762.0
2022-02-20,День,V26/85,2911.0,2515.0,37774.0
2022-02-20,День,VCENTR-102,0.0,43200.0,0.0
2022-02-20,День,VCENTR-70,0.0,43200.0,0.0
2022-02-20,День,VTM9,0.0,43200.0,0.0
2022-02-20,Ночь,CK50,2311.0,4639.0,36250.0
2022-02-20,Ночь,V20,0.0,43200.0,0.0
2022-02-20,Ночь,V26/60_1,4347.0,9999.0,28854.0
2022-02-20,Ночь,V26/60_2,2888.0,9422.0,30890.0
2022-02-20,Ночь,V26/85,4305.0,8906.0,29989.0
2022-02-20,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-20,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-02-20,Ночь,VTM9,0.0,43200.0,0.0
2022-02-21,День,CK50,5154.0,8915.0,29131.0
2022-02-21,День,V20,71.0,43090.0,39.0
2022-02-21,День,V26/60_1,10218.0,11474.0,21508.0
2022-02-21,День,V26/60_2,4454.0,16294.0,22452.0
2022-02-21,День,V26/85,4100.0,11832.0,27268.0
2022-02-21,День,VCENTR-102,671.0,38938.0,3591.0
2022-02-21,День,VCENTR-70,928.0,39229.0,3043.0
2022-02-21,День,VTM9,0.0,43185.0,15.0
2022-02-21,Ночь,CK50,3433.0,19528.0,20239.0
2022-02-21,Ночь,V20,0.0,43200.0,0.0
2022-02-21,Ночь,V26/60_1,4451.0,30528.0,8221.0
2022-02-21,Ночь,V26/60_2,5712.0,8016.0,29472.0
2022-02-21,Ночь,V26/85,3346.0,10110.0,29744.0
2022-02-21,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-21,Ночь,VCENTR-70,4359.0,21283.0,17558.0
2022-02-21,Ночь,VTM9,0.0,43200.0,0.0
2022-02-22,День,CK50,2238.0,31398.0,9564.0
2022-02-22,День,V20,0.0,43200.0,0.0
2022-02-22,День,V26/60_1,10933.0,15845.0,16422.0
2022-02-22,День,V26/60_2,7337.0,15783.0,20080.0
2022-02-22,День,V26/85,3007.0,12551.0,27642.0
2022-02-22,День,VCENTR-102,953.0,31459.0,10788.0
2022-02-22,День,VCENTR-70,729.0,40627.0,1844.0
2022-02-22,День,VTM9,1.0,43199.0,0.0
2022-02-22,Ночь,CK50,1607.0,34863.0,6730.0
2022-02-22,Ночь,V20,0.0,43200.0,0.0
2022-02-22,Ночь,V26/60_1,4824.0,12967.0,25409.0
2022-02-22,Ночь,V26/60_2,9011.0,9491.0,24698.0
2022-02-22,Ночь,V26/85,1198.0,26003.0,15999.0
2022-02-22,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-22,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-02-22,Ночь,VTM9,0.0,43200.0,0.0
2022-02-23,День,CK50,0.0,43200.0,0.0
2022-02-23,День,V20,0.0,43200.0,0.0
2022-02-23,День,V26/60_1,0.0,43200.0,0.0
2022-02-23,День,V26/60_2,0.0,43200.0,0.0
2022-02-23,День,V26/85,0.0,43200.0,0.0
2022-02-23,День,VCENTR-102,0.0,43200.0,0.0
2022-02-23,День,VCENTR-70,0.0,43200.0,0.0
2022-02-23,День,VTM9,0.0,43200.0,0.0
2022-02-23,Ночь,CK50,398.0,41533.0,1269.0
2022-02-23,Ночь,V20,0.0,43200.0,0.0
2022-02-23,Ночь,V26/60_1,0.0,43200.0,0.0
2022-02-23,Ночь,V26/60_2,4.0,43123.0,73.0
2022-02-23,Ночь,V26/85,80.0,42513.0,607.0
2022-02-23,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-23,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-02-23,Ночь,VTM9,0.0,43200.0,0.0
2022-02-24,День,CK50,4296.0,15153.0,23751.0
2022-02-24,День,V20,0.0,43200.0,0.0
2022-02-24,День,V26/60_1,3621.0,15331.0,24248.0
2022-02-24,День,V26/60_2,3418.0,15462.0,24320.0
2022-02-24,День,V26/85,3953.0,16626.0,22621.0
2022-02-24,День,VCENTR-102,591.0,19496.0,23113.0
2022-02-24,День,VCENTR-70,3972.0,28871.0,10357.0
2022-02-24,День,VTM9,2686.0,36202.0,4312.0
2022-02-24,Ночь,CK50,6807.0,7102.0,29291.0
2022-02-24,Ночь,V20,0.0,43200.0,0.0
2022-02-24,Ночь,V26/60_1,6948.0,3644.0,32608.0
2022-02-24,Ночь,V26/60_2,9064.0,7505.0,26631.0
2022-02-24,Ночь,V26/85,3529.0,6305.0,33366.0
2022-02-24,Ночь,VCENTR-102,68.0,40369.0,2763.0
